date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:20	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2028%20Dec%202023%2015:06:20%20GMT	https://joegarboua.my.canva.site/robots.txt		(from )
18:06:21	41150/41150	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Dec%202023%2015:06:21%20GMT	https://joegarboua.my.canva.site/	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/index.html	(from )
18:06:22	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:21%20GMT	http://joegarboua.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.0.delayed	(from https://joegarboua.my.canva.site/)
18:06:22	510/510	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2015:06:22%20GMT	https://joegarboua.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/26387fa4f5b1e3f7b6217b27d79bf264.png	(from https://joegarboua.my.canva.site/)
18:06:23	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:23%20GMT	http://joegarboua.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://joegarboua.my.canva.site/)
18:06:24	1053/1053	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2015:06:24%20GMT	https://joegarboua.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/2d0b56e7e51cf11036ad8734bdb67e2d.png	(from https://joegarboua.my.canva.site/)
18:06:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:25%20GMT	http://joegarboua.my.canva.site/725b756a69a7d4c235070e51acd85560.png	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://joegarboua.my.canva.site/)
18:06:26	6245/6245	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Dec%202023%2015:06:26%20GMT	https://joegarboua.my.canva.site/725b756a69a7d4c235070e51acd85560.png	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/725b756a69a7d4c235070e51acd85560.png	(from https://joegarboua.my.canva.site/)
18:06:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:27%20GMT	http://joegarboua.my.canva.site/fonts/01f2c5b77db9b18e14a682faed3d9703.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/01f2c5b77db9b18e14a682faed3d9703.woff2	(from https://joegarboua.my.canva.site/)
18:06:30	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:29%20GMT	http://joegarboua.my.canva.site/fonts/636ea03ff24c83bec2d813ae17105779.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/636ea03ff24c83bec2d813ae17105779.woff2	(from https://joegarboua.my.canva.site/)
18:06:30	176796/176796	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Dec%202023%2015:06:28%20GMT	https://joegarboua.my.canva.site/fonts/01f2c5b77db9b18e14a682faed3d9703.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/01f2c5b77db9b18e14a682faed3d9703.woff2	(from https://joegarboua.my.canva.site/)
18:06:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:31%20GMT	http://joegarboua.my.canva.site/fonts/ed00efc53be152528ddec879a0642f1f.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/ed00efc53be152528ddec879a0642f1f.woff2	(from https://joegarboua.my.canva.site/)
18:06:32	157340/157340	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Dec%202023%2015:06:30%20GMT	https://joegarboua.my.canva.site/fonts/636ea03ff24c83bec2d813ae17105779.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/636ea03ff24c83bec2d813ae17105779.woff2	(from https://joegarboua.my.canva.site/)
18:06:33	127444/127444	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Dec%202023%2015:06:32%20GMT	https://joegarboua.my.canva.site/fonts/ed00efc53be152528ddec879a0642f1f.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/ed00efc53be152528ddec879a0642f1f.woff2	(from https://joegarboua.my.canva.site/)
18:06:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:33%20GMT	http://joegarboua.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://joegarboua.my.canva.site/)
18:06:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:36%20GMT	http://joegarboua.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://joegarboua.my.canva.site/)
18:06:37	194188/194188	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Dec%202023%2015:06:35%20GMT	https://joegarboua.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/f8f199f09526f79e87644ed227e0f651.woff2	(from https://joegarboua.my.canva.site/)
18:06:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:38%20GMT	http://joegarboua.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://joegarboua.my.canva.site/)
18:06:41	194064/194064	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Dec%202023%2015:06:37%20GMT	https://joegarboua.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/98c4d2c0223fc8474641c77f923528e9.woff2	(from https://joegarboua.my.canva.site/)
18:06:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:42%20GMT	http://joegarboua.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://joegarboua.my.canva.site/)
18:06:45	201132/201132	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Dec%202023%2015:06:41%20GMT	https://joegarboua.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/d257a7100844bc3f98c9021168b6249e.woff2	(from https://joegarboua.my.canva.site/)
18:06:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:46%20GMT	http://joegarboua.my.canva.site/images/3e7c8a2c728c60649941625d6d12431e.jpg	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/images/3e7c8a2c728c60649941625d6d12431e.jpg	(from https://joegarboua.my.canva.site/)
18:06:49	203232/203232	---M--	200	added ('OK')	font/woff2	date:Thu,%2028%20Dec%202023%2015:06:45%20GMT	https://joegarboua.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/fonts/1060345c54d396e76d73f1da7ee200bd.woff2	(from https://joegarboua.my.canva.site/)
18:06:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:50%20GMT	http://joegarboua.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://joegarboua.my.canva.site/)
18:06:53	746439/746439	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Dec%202023%2015:06:49%20GMT	https://joegarboua.my.canva.site/images/3e7c8a2c728c60649941625d6d12431e.jpg	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/images/3e7c8a2c728c60649941625d6d12431e.jpg	(from https://joegarboua.my.canva.site/)
18:06:54	221/221	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2028%20Dec%202023%2015:06:53%20GMT	https://joegarboua.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/js/939898b427480d700449229ff00dbb8a6f9f77442b532f697866e6914ab8843a.js	(from https://joegarboua.my.canva.site/)
18:06:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2028%20Dec%202023%2015:06:54%20GMT	http://joegarboua.my.canva.site/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	(from https://joegarboua.my.canva.site/)
18:06:56	2045/2045	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2028%20Dec%202023%2015:06:55%20GMT	https://joegarboua.my.canva.site/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	/Users/joegarboua/websites/Garboua/joegarboua.my.canva.site/js/388fb330498371d4935abbff11d34d4c30842ca3c4a128cdd290d29db98acb41.js	(from https://joegarboua.my.canva.site/)
